task__calibration,task__created,task__id,task__info,task__n_answers,task__priority_0,task__project_id,task__quorum,task__state,taskinfo__id,taskinfo__image_url,taskinfo__source_uri
0,2015-05-04T15:58:58.065056,610,"{""source_uri"": ""http://www.lutheranworld.org/news/ebola-west-africa"", ""image_url"": ""http://www.lutheranworld.org/sites/default/files/styles/news_item/public/EbolaOutbreak-news.jpg?itok=9egVTKPA"", ""id"": ""63""}",15,0,27,0,completed,63,http://www.lutheranworld.org/sites/default/files/styles/news_item/public/EbolaOutbreak-news.jpg?itok=9egVTKPA,http://www.lutheranworld.org/news/ebola-west-africa
0,2015-05-04T15:58:58.092337,611,"{""source_uri"": ""http://www.dailymail.co.uk/news/article-2725754/Ebola-vastly-worse-thought-warns-World-Health-Organisation-America-evacuates-diplomatic-families-affected-country.html"", ""image_url"": ""http://ichef.bbci.co.uk/news/highquality/625/media/images/78059000/jpg/_78059534_ebola-suit.jpg"", ""id"": ""64""}",15,0,27,0,completed,64,http://ichef.bbci.co.uk/news/highquality/625/media/images/78059000/jpg/_78059534_ebola-suit.jpg,http://www.dailymail.co.uk/news/article-2725754/Ebola-vastly-worse-thought-warns-World-Health-Organisation-America-evacuates-diplomatic-families-affected-country.html
0,2015-05-04T15:58:58.123426,612,"{""source_uri"": ""http://who.int/features/2014/ebola-liberia/photos/en/index4.html"", ""image_url"": ""http://who.int/features/2014/ebola-liberia/ebola-liberia-5.jpg"", ""id"": ""65""}",15,0,27,0,completed,65,http://who.int/features/2014/ebola-liberia/ebola-liberia-5.jpg,http://who.int/features/2014/ebola-liberia/photos/en/index4.html
0,2015-05-04T15:58:58.150607,613,"{""source_uri"": ""http://who.int/features/2014/ebola-liberia/photos/en/index7.html"", ""image_url"": ""http://who.int/features/2014/ebola-liberia/ebola-liberia-10.jpg"", ""id"": ""66""}",15,0,27,0,completed,66,http://who.int/features/2014/ebola-liberia/ebola-liberia-10.jpg,http://who.int/features/2014/ebola-liberia/photos/en/index7.html
0,2015-05-04T15:58:58.181776,614,"{""source_uri"": ""http://www.radionz.co.nz/national/programmes/ninetonoon/audio/20152601/nz-nurses-reveal-grim-realities-of-caring-for-ebola-patients-in-sierra-leone"", ""image_url"": ""http://www.radionz.co.nz/assets/news/25637/four_col_New_Zealand_Red_Cross_nurse_Donna_Collins_in_Sierra_Leone_wearing_full_personal_protection_equipment..jpg?1412720809"", ""id"": ""67""}",15,0,27,0,completed,67,http://www.radionz.co.nz/assets/news/25637/four_col_New_Zealand_Red_Cross_nurse_Donna_Collins_in_Sierra_Leone_wearing_full_personal_protection_equipment..jpg?1412720809,http://www.radionz.co.nz/national/programmes/ninetonoon/audio/20152601/nz-nurses-reveal-grim-realities-of-caring-for-ebola-patients-in-sierra-leone
0,2015-05-04T15:58:58.209298,615,"{""source_uri"": ""http://www.radionz.co.nz/national/programmes/ninetonoon/audio/20152601/nz-nurses-reveal-grim-realities-of-caring-for-ebola-patients-in-sierra-leone"", ""image_url"": ""http://assets.nydailynews.com/polopoly_fs/1.1974702.1413344907!/img/httpImage/image.jpg_gen/derivatives/article_970/health-ebola.jpg"", ""id"": ""68""}",15,0,27,0,completed,68,http://assets.nydailynews.com/polopoly_fs/1.1974702.1413344907!/img/httpImage/image.jpg_gen/derivatives/article_970/health-ebola.jpg,http://www.radionz.co.nz/national/programmes/ninetonoon/audio/20152601/nz-nurses-reveal-grim-realities-of-caring-for-ebola-patients-in-sierra-leone
0,2015-05-04T15:58:58.239884,616,"{""source_uri"": ""http://www.doctorswithoutborders.org/our-work/medical-issues/ebola"", ""image_url"": ""http://www.doctorswithoutborders.org/sites/usa/files/styles/detail_page_header_left_sidebar/https/media.msf.org/Doc/MSF/Media/CMS1/d/7/6/7/MSF141573.jpg"", ""id"": ""69""}",15,0,27,0,completed,69,http://www.doctorswithoutborders.org/sites/usa/files/styles/detail_page_header_left_sidebar/https/media.msf.org/Doc/MSF/Media/CMS1/d/7/6/7/MSF141573.jpg,http://www.doctorswithoutborders.org/our-work/medical-issues/ebola
0,2015-05-04T15:58:58.267283,617,"{""source_uri"": ""https://www.flickr.com/photos/46658241@N06/sets/72157646431299604/"", ""image_url"": ""https://farm4.staticflickr.com/3935/15512409636_85e6f8b304_b.jpg"", ""id"": ""70""}",15,0,27,0,completed,70,https://farm4.staticflickr.com/3935/15512409636_85e6f8b304_b.jpg,https://www.flickr.com/photos/46658241@N06/sets/72157646431299604/
0,2015-05-04T15:58:58.297771,618,"{""source_uri"": ""https://www.flickr.com/photos/46658241@N06/sets/72157646431299604/"", ""image_url"": ""https://farm4.staticflickr.com/3931/15349490009_431d9399a1_b.jpg"", ""id"": ""71""}",15,0,27,0,completed,71,https://farm4.staticflickr.com/3931/15349490009_431d9399a1_b.jpg,https://www.flickr.com/photos/46658241@N06/sets/72157646431299604/
0,2015-05-04T15:58:58.326727,619,"{""source_uri"": ""https://www.flickr.com/photos/46658241@N06/sets/72157646431299604/"", ""image_url"": ""https://farm4.staticflickr.com/3955/15350500890_8a1fcaccd3_b.jpg"", ""id"": ""72""}",15,0,27,0,completed,72,https://farm4.staticflickr.com/3955/15350500890_8a1fcaccd3_b.jpg,https://www.flickr.com/photos/46658241@N06/sets/72157646431299604/
